seqnames	start	end	width	strand	gene_id	SYMBOL	ishyper	p.value
chr1	1981909	2116834	134926	+	5590	PRKCZ	FALSE	0.00000000862084051988149
chr1	2115899	2139172	23274	-	199990	C1orf86	FALSE	0.00000000862084051988149
chr1	2160134	2241652	81519	+	6497	SKI	FALSE	0.00000000862084051988149
chr1	50883223	50889119	5897	-	63950	DMRTA2	TRUE	0.0000000107760506498519
chr1	117057156	117113715	56560	-	965	CD58	FALSE	0.000000000538802532492594
chr1	117117020	117210377	93358	-	3321	IGSF3	FALSE	0.000000000538802532492594
chr1	117214371	117214449	79	+	100302117	MIR320B1	FALSE	0.000000000538802532492594
chr1	160160285	160171676	11392	+	844	CASQ1	FALSE	0.0000000107760506498519
chr1	160175125	160185162	10038	+	8682	PEA15	FALSE	0.0000000107760506498519
chr1	160185505	160254941	69437	-	50717	DCAF8	FALSE	0.0000000107760506498519
chr1	160246599	160254941	8343	-	5824	PEX19	FALSE	0.0000000107760506498519
chr1	160258377	160313354	54978	-	1314	COPA	FALSE	0.0000000107760506498519
chr1	160287055	160288260	1206	+	474338	SUMO1P3	FALSE	0.0000000107760506498519
chr1	160313063	160328742	15680	+	23385	NCSTN	FALSE	0.0000000107760506498519
chr1	160336861	160342638	5778	+	4807	NHLH1	FALSE	0.0000000107760506498519
chr1	170633313	170708541	75229	+	5396	PRRX1	TRUE	0.0000000107760506498519
chr2	3192741	3381653	188913	-	7260	TSSC1	FALSE	0.00000000862084051988149
chr2	3383446	3488857	105412	+	51112	TRAPPC12	FALSE	0.00000000862084051988149
chr2	198256698	198299771	43074	-	23451	SF3B1	FALSE	0.0000000107760506498519
chr2	198318231	198339851	21621	+	80219	COQ10B	FALSE	0.0000000107760506498519
chr2	198351308	198364998	13691	-	3329	HSPD1	FALSE	0.0000000107760506498519
chr2	198364721	198418423	53703	+	100529241	HSPE1-MOB4	FALSE	0.0000000107760506498519
chr2	198364721	198368187	3467	+	3336	HSPE1	FALSE	0.0000000107760506498519
chr2	198380295	198418423	38129	+	25843	MOB4	FALSE	0.0000000107760506498519
chr2	239229185	239309541	80357	+	26146	TRAF3IP1	FALSE	0.0000000107760506498519
chr2	239335626	239360891	25266	+	51665	ASB1	FALSE	0.0000000107760506498519
chr3	184279587	184300196	20610	+	2049	EPHB3	FALSE	0.0000000107760506498519
chr4	13369347	13485989	116643	-	9364	RAB28	TRUE	0.0000000107760506498519
chr4	13527943	13533041	5099	-	285547	LINC01097	TRUE	0.0000000107760506498519
chr4	13542454	13546114	3661	-	579	NKX3-2	TRUE	0.0000000107760506498519
chr4	13547700	13549448	1749	-	285548	LINC01096	TRUE	0.0000000107760506498519
chr4	41937137	41962824	25688	+	55161	TMEM33	TRUE	0.00000000862084051988149
chr4	54875958	54930815	54858	-	26511	CHIC2	TRUE	0.0000000107760506498519
chr4	54966248	54968122	1875	+	170825	GSX2	TRUE	0.0000000107760506498519
chr4	79892902	80229953	337052	+	100505875	LINC01088	FALSE	0.00000000862084051988149
chr4	85414436	85419387	4952	-	4825	NKX6-1	TRUE	0.0000000107760506498519
chr4	187207252	187422212	214961	-	285441	F11-AS1	FALSE	0.0000000107760506498519
chr4	187454809	187476537	21729	-	4543	MTNR1A	FALSE	0.00000000862084051988149
chr4	187508937	187647850	138914	-	2195	FAT1	FALSE	0.00000000862084051988149
chr6	1610681	1614129	3449	+	2296	FOXC1	FALSE	0.00000000862084051988149
chr6	37400907	37449284	48378	+	23070	CMTR1	FALSE	0.00000000862084051988149
chr6	37450697	37467700	17004	-	154467	CCDC167	FALSE	0.00000000862084051988149
chr6	37523141	37523198	58	-	100616413	MIR4462	FALSE	0.00000000862084051988149
