"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"SYMBOL"	"ishyper"	"p.value"
"chr1"	803451	812182	8732	"-"	284593	"FAM41C"	FALSE	0.00830320726733409
"chr1"	852953	854817	1865	"-"	100130417	"LOC100130417"	FALSE	9.54219285044384e-05
"chr1"	860530	879961	19432	"+"	148398	"SAMD11"	FALSE	4.81258422022386e-05
"chr1"	879583	894679	15097	"-"	26155	"NOC2L"	FALSE	0.0282395620802674
"chr1"	895967	901099	5133	"+"	339451	"KLHL17"	FALSE	0.0282395620802674
"chr1"	901877	910484	8608	"+"	84069	"PLEKHN1"	FALSE	0.0282395620802674
"chr1"	910579	917473	6895	"-"	84808	"PERM1"	FALSE	1.19166956111387e-05
"chr1"	934342	935552	1211	"-"	57801	"HES4"	FALSE	0.00830320726733409
"chr1"	948847	949919	1073	"+"	9636	"ISG15"	NA	0.00830320726733409
"chr1"	955503	991499	35997	"+"	375790	"AGRN"	NA	0.0105626498248202
"chr1"	1007126	1009687	2562	"-"	401934	"RNF223"	FALSE	0.00345986281053023
"chr1"	1017198	1051736	34539	"-"	54991	"C1orf159"	FALSE	0.00424040179323827
"chr1"	1072397	1079434	7038	"+"	254099	"RP11-465B22.5"	FALSE	0.0142313007719014
"chr1"	1102484	1102578	95	"+"	406984	"MIR200B"	FALSE	1.54097524292881e-07
"chr1"	1103243	1103332	90	"+"	406983	"MIR200A"	FALSE	1.54097524292881e-07
"chr1"	1104385	1104467	83	"+"	554210	"MIR429"	FALSE	1.54097524292881e-07
"chr1"	1109286	1133313	24028	"+"	254173	"TTLL10"	FALSE	1.54097524292881e-07
"chr1"	1138888	1142089	3202	"-"	8784	"TNFRSF18"	FALSE	0.00314399251986909
"chr1"	1146706	1149548	2843	"-"	7293	"TNFRSF4"	FALSE	0.00314399251986909
"chr1"	1152288	1167447	15160	"-"	51150	"SDF4"	FALSE	0.000140015381303655
"chr1"	1167629	1170420	2792	"+"	126792	"B3GALT6"	FALSE	0.000140015381303655
"chr1"	1177826	1182102	4277	"-"	388581	"FAM132A"	FALSE	0.010792220113852
"chr1"	1189292	1209234	19943	"-"	118424	"UBE2J2"	NA	6.56929599716272e-05
"chr1"	1215816	1227409	11594	"+"	6339	"SCNN1D"	NA	6.56929599716272e-05
"chr1"	1227764	1244989	17226	"-"	116983	"ACAP3"	FALSE	9.54219285044384e-05
"chr1"	1243994	1247057	3064	"+"	126789	"PUSL1"	FALSE	9.54219285044384e-05
"chr1"	1246965	1260067	13103	"-"	54973	"CPSF3L"	NA	1.13148531823444e-07
