seqnames	start	end	width	strand	gene_id	SYMBOL	ishyper	p.value
chr1	852953	854817	1865	-	100130417	LOC100130417	FALSE	0.0000954219285044386
chr1	860530	879961	19432	+	148398	SAMD11	FALSE	0.0000481258422022387
chr1	910579	917473	6895	-	84808	PERM1	FALSE	0.0000119166956111387
chr1	1102484	1102578	95	+	406984	MIR200B	FALSE	0.000000154097524292881
chr1	1103243	1103332	90	+	406983	MIR200A	FALSE	0.000000154097524292881
chr1	1104385	1104467	83	+	554210	MIR429	FALSE	0.000000154097524292881
chr1	1109286	1133313	24028	+	254173	TTLL10	FALSE	0.000000154097524292881
chr1	1152288	1167447	15160	-	51150	SDF4	FALSE	0.000140015381303655
chr1	1167629	1170420	2792	+	126792	B3GALT6	FALSE	0.000140015381303655
chr1	1189292	1209234	19943	-	118424	UBE2J2	FALSE	0.0000656929599716273
chr1	1215816	1227409	11594	+	6339	SCNN1D	FALSE	0.0000656929599716273
chr1	1227764	1244989	17226	-	116983	ACAP3	FALSE	0.0000954219285044386
chr1	1243994	1247057	3064	+	126789	PUSL1	FALSE	0.0000954219285044386
chr1	1246965	1260067	13103	-	54973	CPSF3L	FALSE	0.000000113148531823444
chr1	1260143	1264276	4134	+	80772	CPTP	FALSE	0.000000113148531823444
chr1	1266726	1269844	3119	+	83756	TAS1R3	FALSE	0.000000113148531823444
chr1	1309110	1310818	1709	-	54998	AURKAIP1	FALSE	0.000000448283707033838
chr1	1950768	1962192	11425	+	2563	GABRD	FALSE	0.0000119166956111387
chr1	2252696	2322993	70298	-	79906	MORN1	FALSE	0.00000224249614023417
chr1	2323214	2336885	13672	+	11079	RER1	FALSE	0.00000224249614023417
chr1	2938046	2939467	1422	+	140625	ACTRT2	FALSE	0.000140015381303655
chr1	2976181	2984289	8109	-	440556	LINC00982	FALSE	0.00000161209717721784
chr1	2985742	3355185	369444	+	63976	PRDM16	FALSE	0.00000161209717721784
chr1	3044539	3044599	61	+	100422968	MIR4251	FALSE	0.000000448283707033838
chr1	3477260	3477354	95	-	693135	MIR551A	FALSE	0.000105894633328497
chr1	3547331	3566671	19341	-	49856	WRAP73	TRUE	0.000000448283707033838
chr1	3569129	3652765	83637	+	7161	TP73	TRUE	0.000000448283707033838
chr1	3805697	3816857	11161	-	339448	C1orf174	FALSE	0.0000229012628410652
chr1	3816968	3833879	16912	+	100133612	LINC01134	FALSE	0.0000229012628410652
chr1	11539295	11597640	58346	+	57540	PTCHD2	FALSE	0.00000144399078708015
chr1	11979645	11986485	6841	-	90231	KIAA2013	FALSE	0.0000481258422022387
chr1	12251762	12251839	78	+	100616438	MIR4632	FALSE	0.000140015381303655
chr1	12884468	12891264	6797	-	440560	PRAMEF11	TRUE	0.000105894633328497
chr1	12907236	12908237	1002	-	649330	LOC649330	TRUE	0.000105894633328497
chr1	12907261	12908578	1318	-	343069	HNRNPCL1	TRUE	0.000105894633328497
chr1	14026735	14151574	124840	+	7799	PRDM2	TRUE	0.000000154097524292881
chr1	17300999	17308081	7083	-	4237	MFAP2	FALSE	0.000105894633328497
chr1	20990507	21044317	53811	-	57576	KIF17	FALSE	0.0000386666249417985
chr1	21046225	21059330	13106	-	400745	SH2D5	FALSE	0.0000386666249417985
chr1	24446261	24469775	23515	-	58985	IL22RA1	TRUE	0.0000126036688400668
chr1	26560693	26605299	44607	+	64793	CEP85	TRUE	0.0000279918691680552
chr1	26758773	26797795	39023	+	79947	DHDDS	TRUE	0.0000741564701520209
chr1	28585963	28609002	23040	+	83667	SESN2	TRUE	0.000105894633328497
chr1	29063133	29096287	33155	+	51441	YTHDF2	FALSE	0.0000656929599716273
chr1	29445937	29450421	4485	-	399474	TMEM200B	FALSE	0.0000954219285044386
chr1	32042086	32053287	11202	+	64129	TINAGL1	FALSE	0.0000954219285044386
chr1	32799430	32801840	2411	-	65108	MARCKSL1	FALSE	0.00000161209717721784
chr1	33207512	33240571	33060	+	57648	KIAA1522	TRUE	0.0000386666249417986
chr1	36038971	36060927	21957	+	339488	TFAP2E	TRUE	0.0000229012628410652
chr1	36560844	36565850	5007	-	1296	COL8A2	FALSE	0.0000741564701520207
chr1	45809555	45956840	147286	-	10420	TESK2	TRUE	0.0000094290443186204
chr1	45976707	45988562	11856	-	5052	PRDX1	FALSE	0.00000942904431862042
chr1	47681963	47697892	15930	-	6886	TAL1	TRUE	0.0000229012628410652
chr1	47897807	47900313	2507	-	84793	FOXD2-AS1	TRUE	0.0000481258422022386
chr1	47901689	47906363	4675	+	2306	FOXD2	TRUE	0.0000481258422022386
chr1	50513686	50667540	153855	+	1996	ELAVL4	TRUE	0.00000979758525084532
chr1	50883223	50889119	5897	-	63950	DMRTA2	TRUE	0.0000000107760506498519
chr1	51701945	51739119	37175	+	26994	RNF11	TRUE	0.0000094290443186204
chr1	55246752	55266941	20190	-	55001	TTC22	FALSE	0.000140015381303655
chr1	55271736	55307937	36202	+	163747	C1orf177	FALSE	0.000140015381303655
chr1	62119914	62121800	1887	+	414927	MGC34796	TRUE	0.0000279918691680552
chr1	79355449	79472495	117047	-	64123	ELTD1	TRUE	0.0000656929599716272
chr1	92711955	92764566	52612	-	11146	GLMN	TRUE	0.00000477109642522193
chr1	92764522	92853732	89211	+	79871	RPAP2	TRUE	0.00000477109642522193
chr1	99127236	99226056	98821	+	51375	SNX7	TRUE	0.0000386666249417986
chr1	109822176	109825808	3633	-	84722	PSRC1	FALSE	0.00000942904431862042
chr1	112016604	112021134	4531	+	128346	C1orf162	TRUE	0.0000229012628410652
chr1	113243749	113250025	6277	-	389	RHOC	FALSE	0.0000481258422022387
chr1	115397455	115537990	140536	+	6847	SYCP1	TRUE	0.000140015381303655
chr1	117910085	118068320	158236	+	10905	MAN1A2	FALSE	0.0000279918691680553
chr1	119425666	119532179	106514	-	6913	TBX15	TRUE	0.000000154097524292881
chr1	120436156	120439147	2992	-	11085	ADAM30	TRUE	0.0000229012628410652
chr1	145695798	145715565	19768	-	11126	CD160	TRUE	0.0000656929599716272
chr1	150547027	150552214	5188	-	4170	MCL1	TRUE	0.00000979758525084532
chr1	151372041	151374412	2372	+	5692	PSMB4	FALSE	0.000000154097524292881
chr1	155100349	155107386	7038	+	1942	EFNA1	FALSE	0.0000481258422022387
chr1	155108288	155111334	3047	+	55974	SLC50A1	FALSE	0.0000481258422022387
chr1	155216996	155225274	8279	-	10712	FAM189B	FALSE	0.0000954219285044386
chr1	155225770	155232176	6407	-	10067	SCAMP3	FALSE	0.0000954219285044386
chr1	155882836	155904188	21353	-	22889	KIAA0907	FALSE	0.0000126036688400668
chr1	155895749	155895877	129	-	677771	SCARNA4	FALSE	0.0000126036688400668
chr1	155911480	155912625	1146	+	339403	RXFP4	FALSE	0.0000126036688400668
chr1	156810665	156828712	18048	-	3645	INSRR	TRUE	0.000105894633328497
chr1	158801168	158819270	18103	+	4332	MNDA	TRUE	0.0000386666249417986
chr1	160185505	160254941	69437	-	50717	DCAF8	FALSE	0.0000000107760506498519
chr1	160246599	160254941	8343	-	5824	PEX19	FALSE	0.0000000107760506498519
chr1	161123534	161128646	5113	+	51506	UFC1	FALSE	0.0000656929599716273
chr1	161129254	161135516	6263	+	27005	USP21	FALSE	0.0000656929599716273
chr1	161136181	161147801	11621	+	5498	PPOX	FALSE	0.0000656929599716273
chr1	167064071	167098402	34332	+	92235	DUSP27	TRUE	0.00000979758525084532
chr1	170633313	170708541	75229	+	5396	PRRX1	TRUE	0.0000000107760506498519
chr1	171106879	171130702	23824	+	388714	FMO6P	TRUE	0.0000481258422022386
chr1	171217633	171255113	37481	+	2326	FMO1	TRUE	0.0000386666249417986
chr1	178060643	178063128	2486	-	100302401	RASAL2-AS1	TRUE	0.0000656929599716272
chr1	178062864	178448648	385785	+	9462	RASAL2	TRUE	0.0000656929599716272
chr1	181452686	181775921	323236	+	777	CACNA1E	TRUE	0.0000119166956111387
chr1	197881635	197901715	20081	+	56956	LHX9	TRUE	0.0000126036688400668
chr1	200938514	200992828	54315	-	23046	KIF21B	FALSE	0.0000229012628410652
chr1	201977073	201986315	9243	+	1999	ELF3	FALSE	0.0000954219285044386
chr1	202780074	202781041	968	+	100506696	PCAT6	TRUE	0.00000979758525084532
chr1	202794329	202795421	1093	+	641515	MGAT4EP	TRUE	0.00000979758525084532
chr1	202830882	202844369	13488	+	148709	LOC148709	TRUE	0.00000979758525084532
chr1	203444883	203460479	15597	+	5549	PRELP	FALSE	0.0000386666249417985
chr1	214161278	214214847	53570	+	5629	PROX1	TRUE	0.0000656929599716272
chr1	227916240	227922055	5816	+	100130093	LOC100130093	FALSE	0.000000829755900038597
chr1	227916240	227968932	52693	+	116841	SNAP47	FALSE	0.000000829755900038597
chr1	227918890	227923112	4223	-	65094	JMJD4	FALSE	0.000000829755900038597
chr1	228194723	228248972	54250	+	89780	WNT3A	TRUE	0.0000279918691680552
chr1	228288428	228291022	2595	-	79169	C1orf35	FALSE	0.0000229012628410652
chr1	228294380	228297013	2634	-	128308	MRPL55	FALSE	0.0000229012628410652
chr1	228327785	228336655	8871	+	2987	GUK1	FALSE	0.0000481258422022387
chr1	228337415	228347527	10113	+	57165	GJC2	FALSE	0.0000481258422022387
chr1	228780394	228788159	7766	+	574029	DUSP5P1	TRUE	0.00000144399078708015
chr1	228780394	228882416	102023	+	58480	RHOU	TRUE	0.00000144399078708015
chr1	229456752	229478688	21937	-	126731	CCSAP	FALSE	0.00000161209717721784
chr1	234040679	234460262	419584	+	148641	SLC35F3	TRUE	0.0000279918691680552
chr1	234442213	234442285	73	+	100616380	MIR4671	FALSE	0.0000656929599716273
chr1	235294498	235324772	30275	-	23029	RBM34	FALSE	0.0000954219285044386
chr1	235710985	235814054	103070	-	2786	GNG4	FALSE	0.0000279918691680553
chr1	236305832	236372209	66378	+	7107	GPR137B	FALSE	0.00000942904431862042
chr1	248020501	248060142	39642	+	25893	TRIM58	FALSE	0.000140015381303655
chr2	3192741	3381653	188913	-	7260	TSSC1	TRUE	0.0000481258422022386
chr2	6072819	6120350	47532	+	150622	LINC01105	FALSE	0.0000954219285044386
chr2	8996701	9143876	147176	-	129642	MBOAT2	TRUE	0.0000481258422022386
chr2	10281981	10350942	68962	+	348738	C2orf48	FALSE	0.00000477109642522193
chr2	19548190	19548266	77	+	100616307	MIR4757	FALSE	0.00000144399078708015
chr2	19551246	19558372	7127	-	130497	OSR1	FALSE	0.00000144399078708015
chr2	20191813	20212455	20643	-	4148	MATN3	TRUE	0.00000477109642522193
chr2	20400558	20425194	24637	-	6382	SDC1	FALSE	0.00000477109642522193
chr2	26149455	26205443	55989	-	3797	KIF3C	FALSE	0.0000481258422022387
chr2	27650657	27665124	14468	+	29959	NRBP1	FALSE	0.0000656929599716273
chr2	32853087	33046118	193032	+	55622	TTC27	TRUE	0.0000126036688400668
chr2	32860322	32860398	77	+	100616219	MIR4765	TRUE	0.0000126036688400668
chr2	37208153	37311485	103333	-	54497	HEATR5B	TRUE	0.0000386666249417986
chr2	37311594	37323738	12145	+	253635	GPATCH11	TRUE	0.0000386666249417986
chr2	39024876	39103021	78146	-	90957	DHX57	TRUE	0.00000224249614023417
chr2	39103103	39109850	6748	+	729967	MORN2	TRUE	0.00000224249614023417
chr2	44502597	44547962	45366	+	6519	SLC3A1	FALSE	0.0000126036688400668
chr2	53897117	54087170	190054	-	51130	ASB3	FALSE	0.0000119166956111387
chr2	54076259	54076342	84	-	100500850	MIR3682	FALSE	0.0000656929599716273
chr2	54080050	54087170	7121	-	10936	GPR75	FALSE	0.0000119166956111387
chr2	61404553	61414686	10134	+	130872	AHSA2	TRUE	0.000105894633328497
chr2	62900986	63273621	372636	+	23301	EHBP1	TRUE	0.00000979758525084532
chr2	63271100	63275656	4557	-	100132215	LOC100132215	TRUE	0.0000481258422022386
chr2	63277192	63284966	7775	+	5013	OTX1	TRUE	0.0000094290443186204
chr2	66650475	66660602	10128	-	730198	MEIS1-AS3	TRUE	0.0000126036688400668
chr2	66662532	66799891	137360	+	4211	MEIS1	TRUE	0.0000126036688400668
chr2	70121075	70132368	11294	+	11017	SNRNP27	FALSE	0.00000942904431862042
chr2	71004442	71017775	13334	-	344018	FIGLA	TRUE	0.0000481258422022386
chr2	71127720	71160575	32856	+	25806	VAX2	TRUE	0.0000656929599716272
chr2	71251205	71257060	5856	+	79315	OR7E91P	FALSE	0.0000481258422022387
chr2	74641303	74644844	3542	-	388963	C2orf81	FALSE	0.0000126036688400668
chr2	74648885	74652882	3998	+	84058	WDR54	FALSE	0.0000126036688400668
chr2	87011728	87035519	23792	-	925	CD8A	TRUE	0.0000229012628410652
chr2	95940201	95957055	16855	+	150696	PROM2	FALSE	0.0000229012628410652
chr2	99410309	99552684	142376	-	343990	KIAA1211L	TRUE	0.0000119166956111387
chr2	99613724	99771187	157464	-	80705	TSGA10	TRUE	0.0000126036688400668
chr2	99758185	99767928	9744	+	150590	C2orf15	TRUE	0.0000126036688400668
chr2	99758185	99939196	181012	+	51263	MRPL30	TRUE	0.0000126036688400668
chr2	99771418	99779613	8196	+	51601	LIPT1	TRUE	0.0000126036688400668
chr2	105363095	105374177	11083	-	284998	LINC01114	FALSE	0.000000113148531823444
chr2	107021136	107084801	63666	-	653489	RGPD3	TRUE	0.0000119166956111387
chr2	113973574	114036498	62925	-	7849	PAX8	TRUE	0.000140015381303655
chr2	114647511	114719129	71619	+	10096	ACTR3	TRUE	0.000105894633328497
chr2	119599747	119605759	6013	-	2019	EN1	TRUE	0.000000829755900038597
chr2	120770604	120936697	166094	+	57669	EPB41L5	TRUE	0.000140015381303655
chr2	128603840	128615729	11890	-	5433	POLR2D	FALSE	0.000105894633328497
chr2	131349738	131357251	7514	-	55997	CFC1	TRUE	0.00000224249614023417
chr2	131805449	131851004	45556	-	130074	FAM168B	TRUE	0.0000656929599716272
chr2	131862420	132111282	248863	+	55041	PLEKHB2	TRUE	0.0000656929599716272
chr2	131975924	132022416	46493	+	445582	POTEE	FALSE	0.0000279918691680553
