seqnames	start	end	width	strand	gene_id	SYMBOL	ishyper	p.value
chr1	761586	762902	1317	-	79854	LINC00115	FALSE	0.0000954219285044384
chr1	762971	794826	31856	+	643837	LINC01128	FALSE	0.0000954219285044384
chr1	803451	812182	8732	-	284593	FAM41C	FALSE	0.0000481258422022386
chr1	852953	854817	1865	-	100130417	LOC100130417	FALSE	0.0000119166956111387
chr1	860530	879961	19432	+	148398	SAMD11	FALSE	0.0000119166956111387
chr1	879583	894679	15097	-	26155	NOC2L	FALSE	0.0000119166956111387
chr1	895967	901099	5133	+	339451	KLHL17	FALSE	0.0000119166956111387
chr1	901877	910484	8608	+	84069	PLEKHN1	FALSE	0.0000119166956111387
chr1	910579	917473	6895	-	84808	PERM1	FALSE	0.0000119166956111387
chr1	934342	935552	1211	-	57801	HES4	FALSE	0.0000119166956111387
chr1	948847	949919	1073	+	9636	ISG15	FALSE	0.0000119166956111387
chr1	955503	991499	35997	+	375790	AGRN	FALSE	0.0000119166956111387
chr1	1007126	1009687	2562	-	401934	RNF223	FALSE	0.000000154097524292881
chr1	1017198	1051736	34539	-	54991	C1orf159	FALSE	0.000000154097524292881
chr1	1072397	1079434	7038	+	254099	RP11-465B22.5	FALSE	0.000000154097524292881
chr1	1102484	1102578	95	+	406984	MIR200B	FALSE	0.000000154097524292881
chr1	1103243	1103332	90	+	406983	MIR200A	FALSE	0.000000154097524292881
chr1	1104385	1104467	83	+	554210	MIR429	FALSE	0.000000154097524292881
chr1	1109286	1133313	24028	+	254173	TTLL10	FALSE	0.000000154097524292881
chr1	1138888	1142089	3202	-	8784	TNFRSF18	FALSE	0.000000154097524292881
chr1	1146706	1149548	2843	-	7293	TNFRSF4	FALSE	0.000000154097524292881
chr1	1152288	1167447	15160	-	51150	SDF4	FALSE	0.000000154097524292881
chr1	1167629	1170420	2792	+	126792	B3GALT6	FALSE	0.000000154097524292881
chr1	1177826	1182102	4277	-	388581	FAM132A	FALSE	0.000000113148531823444
chr1	1189292	1209234	19943	-	118424	UBE2J2	FALSE	0.000000113148531823444
chr1	1215816	1227409	11594	+	6339	SCNN1D	FALSE	0.000000113148531823444
chr1	1227764	1244989	17226	-	116983	ACAP3	FALSE	0.000000113148531823444
chr1	1243994	1247057	3064	+	126789	PUSL1	FALSE	0.000000113148531823444
chr1	1246965	1260067	13103	-	54973	CPSF3L	FALSE	0.000000113148531823444
chr1	1260143	1264276	4134	+	80772	GLTPD1	FALSE	0.000000113148531823444
chr1	1266726	1269844	3119	+	83756	TAS1R3	FALSE	0.000000113148531823444
chr1	1270658	1284492	13835	-	1855	DVL1	FALSE	0.000000113148531823444
chr1	1288071	1297157	9087	-	54587	MXRA8	FALSE	0.000000113148531823444
chr1	1309110	1310818	1709	-	54998	AURKAIP1	FALSE	0.000000113148531823444
chr1	1321091	1334718	13628	-	81669	CCNL2	FALSE	0.000000113148531823444
chr1	1334910	1337426	2517	+	148413	LOC148413	FALSE	0.000000113148531823444
chr1	1337276	1342693	5418	-	55052	MRPL20	FALSE	0.000000113148531823444
chr1	1353800	1356824	3025	-	441869	ANKRD65	FALSE	0.000000113148531823444
chr1	1361508	1363167	1660	+	643965	TMEM88B	FALSE	0.000000113148531823444
chr1	1370903	1378262	7360	+	64856	VWA1	FALSE	0.000000448283707033838
chr1	1385069	1405538	20470	+	219293	ATAD3C	FALSE	0.000000448283707033838
chr1	1407164	1444689	37526	+	83858	ATAD3B	FALSE	0.000000448283707033838
chr1	1716725	1822526	105802	-	2782	GNB1	FALSE	0.0000386666249417986
chr1	1846266	1848733	2468	+	163688	CALML6	FALSE	0.0000386666249417986
chr1	1849029	1850740	1712	-	339456	TMEM52	FALSE	0.0000386666249417986
chr1	1884752	1935276	50525	-	85452	KIAA1751	FALSE	0.000000154097524292881
chr1	1950768	1962192	11425	+	2563	GABRD	FALSE	0.000000154097524292881
chr1	1981909	2116834	134926	+	5590	PRKCZ	FALSE	0.00000000862084051988149
chr1	2115899	2139172	23274	-	199990	C1orf86	FALSE	0.00000000862084051988149
chr1	2160134	2241652	81519	+	6497	SKI	FALSE	0.00000000862084051988149
chr1	2252696	2322993	70298	-	79906	MORN1	FALSE	0.00000224249614023417
chr1	2281853	2284100	2248	-	100129534	LOC100129534	FALSE	0.00000224249614023417
chr1	2323214	2336885	13672	+	11079	RER1	FALSE	0.00000224249614023417
chr1	2336241	2344010	7770	-	5192	PEX10	FALSE	0.00000224249614023417
chr1	2407754	2436969	29216	+	9651	PLCH2	FALSE	0.00000224249614023417
chr1	2439975	2458035	18061	-	55229	PANK4	FALSE	0.0000119166956111387
chr1	2460184	2461684	1501	-	388585	HES5	FALSE	0.0000119166956111387
chr1	2481359	2484284	2926	-	115110	LOC115110	FALSE	0.0000119166956111387
chr1	2486163	2488450	2288	-	100133445	LOC100133445	FALSE	0.0000119166956111387
chr1	2487805	2495267	7463	+	8764	TNFRSF14	FALSE	0.0000119166956111387
chr1	2517899	2522908	5010	+	127281	FAM213B	FALSE	0.0000119166956111387
chr1	2572807	2706230	133424	-	100287898	TTC34	FALSE	0.00000224249614023417
chr1	2938046	2939467	1422	+	140625	ACTRT2	FALSE	0.000000113148531823444
chr1	2976181	2984289	8109	-	440556	LINC00982	FALSE	0.000000113148531823444
chr1	2985742	3355185	369444	+	63976	PRDM16	FALSE	0.000000113148531823444
chr1	3044539	3044599	61	+	100422968	MIR4251	FALSE	0.000000146554288837985
chr1	3371147	3397677	26531	+	27237	ARHGEF16	FALSE	0.000000146554288837985
chr1	3404506	3528059	123554	-	1953	MEGF6	NA	0.000000448283707033838
chr1	3477260	3477354	95	-	693135	MIR551A	NA	0.000000448283707033838
chr1	3541556	3546694	5139	+	127262	TPRG1L	NA	0.000000448283707033838
chr1	3547331	3566671	19341	-	49856	WRAP73	NA	0.000000448283707033838
chr1	3569129	3652765	83637	+	7161	TP73	NA	0.000000448283707033838
chr1	3652548	3663937	11390	-	57212	TP73-AS1	NA	0.000000448283707033838
chr1	3668965	3688209	19245	+	148870	CCDC27	NA	0.000000448283707033838
chr1	3689334	3692546	3213	+	388588	SMIM1	FALSE	0.00000979758525084532
chr1	3696784	3713068	16285	-	57470	LRRC47	FALSE	0.00000979758525084532
chr1	3728645	3773797	45153	-	9731	CEP104	FALSE	0.000000448283707033838
chr1	3773845	3801993	28149	+	1677	DFFB	FALSE	0.000000448283707033838
chr1	3805697	3816857	11161	-	339448	C1orf174	FALSE	0.000000448283707033838
